modelo,campo,precisao,recall,f1,vp,fp,fn
Claude_Sonnet5,arg1,0.3986,0.7963,0.5312,340,513,87
Claude_Sonnet5,rel,0.34,0.6792,0.4531,290,563,137
Claude_Sonnet5,arg2,0.2591,0.5176,0.3453,221,632,206
Claude_Sonnet5,tripla_completa,0.2087,0.4169,0.2781,178,675,249
DptOIE,arg1,0.1902,0.7471,0.3032,319,1358,108
DptOIE,rel,0.1479,0.5808,0.2357,248,1429,179
DptOIE,arg2,0.1658,0.6511,0.2643,278,1399,149
DptOIE,tripla_completa,0.0918,0.3607,0.1464,154,1523,273
LlamaPortOIE3,arg1,0.6081,0.7049,0.6529,301,194,126
LlamaPortOIE3,rel,0.4869,0.5644,0.5228,241,254,186
LlamaPortOIE3,arg2,0.4182,0.4848,0.449,207,288,220
LlamaPortOIE3,tripla_completa,0.3535,0.4098,0.3796,175,320,252
PortNOIE,arg1,0.5184,0.3302,0.4034,141,131,286
PortNOIE,rel,0.5294,0.3372,0.412,144,128,283
PortNOIE,arg2,0.4044,0.2576,0.3147,110,162,317
PortNOIE,tripla_completa,0.2721,0.1733,0.2117,74,198,353
Qwen3OIE_0_6B,arg1,0.3546,0.7822,0.4879,334,608,93
Qwen3OIE_0_6B,rel,0.2803,0.6183,0.3857,264,678,163
Qwen3OIE_0_6B,arg2,0.241,0.5316,0.3316,227,715,200
Qwen3OIE_0_6B,tripla_completa,0.1975,0.4356,0.2717,186,756,241
Qwen3OIE_4B,arg1,0.3235,0.7939,0.4597,339,709,88
Qwen3OIE_4B,rel,0.2615,0.6417,0.3715,274,774,153
Qwen3OIE_4B,arg2,0.2347,0.5761,0.3336,246,802,181
Qwen3OIE_4B,tripla_completa,0.1861,0.4567,0.2644,195,853,232
respostaDPTOIE-PY,arg1,0.6728,0.5972,0.6328,255,124,172
respostaDPTOIE-PY,rel,0.5356,0.4754,0.5037,203,176,224
respostaDPTOIE-PY,arg2,0.3087,0.274,0.2903,117,262,310
respostaDPTOIE-PY,tripla_completa,0.2005,0.178,0.1886,76,303,351
respostaGrok4.0Fast,arg1,0.7283,0.6276,0.6742,268,100,159
respostaGrok4.0Fast,rel,0.6304,0.5433,0.5836,232,136,195
respostaGrok4.0Fast,arg2,0.5598,0.4824,0.5182,206,162,221
respostaGrok4.0Fast,tripla_completa,0.4864,0.4192,0.4503,179,189,248
respostas_gpt5.5_mini,arg1,0.4861,0.7799,0.5989,333,352,94
respostas_gpt5.5_mini,rel,0.3679,0.5902,0.4532,252,433,175
respostas_gpt5.5_mini,arg2,0.3577,0.5738,0.4406,245,440,182
respostas_gpt5.5_mini,tripla_completa,0.2701,0.4333,0.3327,185,500,242
respostasGemini3.1Pro,arg1,0.4478,0.7635,0.5645,326,402,101
respostasGemini3.1Pro,rel,0.386,0.6581,0.4866,281,447,146
respostasGemini3.1Pro,arg2,0.2802,0.4778,0.3532,204,524,223
respostasGemini3.1Pro,tripla_completa,0.2253,0.3841,0.284,164,564,263
