sentence,modelo_exemplo,arg1,rel,arg2,n_modelos_concordando
"A universidade é afiliada a a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados",DptOIE,A universidade,é afiliada,a a Congregação de a Santa Cruz ( em latim Congregatio a Sancta Cruce,3
"A universidade é afiliada a a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados",respostaDPTOIE-PY,A universidade,é afiliada,"a a Congregação de a Santa Cruz ( em latim Congregatio a Sancta Cruce , pós-nominais abreviados",3
"A universidade é afiliada a a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados",respostaGrok4.0Fast,A universidade,é afiliada a,"a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados",3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,Michael J. Shea,é,formado em 1904,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,seu irmão,é,John F. Shea,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,John F. Shea,escreveu,a letra original,7
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,John F. Shea,se formou em,1906,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,John F. Shea,se formou em,1908,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",LlamaPortOIE3,"seu irmão, John F. Shea",escreveu,a letra original,8
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Qwen3OIE_0_6B,Michael J. Shea,é,formado em 1904,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Qwen3OIE_0_6B,John F. Shea,se formou em,1906,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Qwen3OIE_0_6B,John F. Shea,se formou em,1908,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Qwen3OIE_0_6B,John F. Shea,escreveu,a letra original,7
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Qwen3OIE_4B,John F. Shea,se formou em,1906,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Qwen3OIE_4B,John F. Shea,se formou em,1908,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Qwen3OIE_4B,John F. Shea,escreveu,a letra original,7
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostaGrok4.0Fast,Michael J. Shea,é,formado em 1904,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostaGrok4.0Fast,John F. Shea,escreveu,a letra original,7
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostas_gpt5.5_mini,John F. Shea,escreveu,a letra original,7
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostas_gpt5.5_mini,seu irmão,é,John F. Shea,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostasGemini3.1Pro,Michael J. Shea,é,formado em 1904,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostasGemini3.1Pro,John F. Shea,escreveu,a letra original,7
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostasGemini3.1Pro,seu irmão,é,John F. Shea,3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Claude_Sonnet5,A Universidade de Notre Dame du Lac,é,"uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos",4
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Claude_Sonnet5,A Universidade de Notre Dame du Lac,é localizada a,"o lado de South Bend, Indiana, em os Estados Unidos",3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Qwen3OIE_0_6B,A Universidade de Notre Dame du Lac,é localizada a,"o lado de South Bend, Indiana, em os Estados Unidos",3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Qwen3OIE_0_6B,A Universidade de Notre Dame du Lac,é,"uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos",4
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",respostaGrok4.0Fast,A Universidade de Notre Dame du Lac,é,"uma Universidade Católica de Pesquisa localizada ao lado de South Bend, Indiana, em os Estados Unidos",4
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",respostas_gpt5.5_mini,A Universidade de Notre Dame du Lac,é localizada,"a o lado de South Bend, Indiana, em os Estados Unidos",3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",respostasGemini3.1Pro,A Universidade de Notre Dame du Lac,é,"uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos",4
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Claude_Sonnet5,Beyoncé,disse,em fevereiro de 2013 que Madonna a inspirou a assumir o controle de sua própria carreira,7
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Claude_Sonnet5,Madonna,inspirou,a (Beyoncé) a assumir o controle de sua própria carreira,5
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",LlamaPortOIE3,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,7
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Qwen3OIE_0_6B,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,7
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Qwen3OIE_4B,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,7
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Qwen3OIE_4B,Madonna,inspirou,Beyoncé a assumir o controle de sua própria carreira,5
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",respostaGrok4.0Fast,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,7
