sentence,modelo_exemplo,arg1,rel,arg2,n_modelos_concordando
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,John F. Shea,escreveu,a letra original,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Grok4.0Fast,John F. Shea,escreveu,a letra original,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostas_gpt5.5_mini,John F. Shea,escreveu,a letra original,3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Claude_Sonnet5,A Universidade de Notre Dame du Lac,é simplesmente,Notre Dame,3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Claude_Sonnet5,A Universidade de Notre Dame du Lac,é localizada ao lado de,"South Bend, Indiana",3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Claude_Sonnet5,A Universidade de Notre Dame du Lac,é localizada em,os Estados Unidos,3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Grok4.0Fast,A Universidade de Notre Dame du Lac,é localizada ao lado de,"South Bend, Indiana",3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Grok4.0Fast,A Universidade de Notre Dame du Lac,é localizada em,os Estados Unidos,3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Grok4.0Fast,A Universidade de Notre Dame du Lac,é ou simplesmente,Notre Dame,3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",respostas_gpt5.5_mini,A Universidade de Notre Dame du Lac,é simplesmente,Notre Dame,3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",respostas_gpt5.5_mini,A Universidade de Notre Dame du Lac,é localizada ao lado de,"South Bend, Indiana",3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",respostas_gpt5.5_mini,A Universidade de Notre Dame du Lac,é localizada em,os Estados Unidos,3
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Claude_Sonnet5,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,3
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Grok4.0Fast,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,3
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",respostas_gpt5.5_mini,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,3
"Em 2013, foi anunciado que Beyoncé trabalharia com Salma Hayek e Frida Giannini em uma campanha de a Gucci Chime for Change, que visa espalhar o empoderamento feminino.",Claude_Sonnet5,uma campanha de a Gucci Chime for Change,visa espalhar,o empoderamento feminino,3
"Em 2013, foi anunciado que Beyoncé trabalharia com Salma Hayek e Frida Giannini em uma campanha de a Gucci Chime for Change, que visa espalhar o empoderamento feminino.",Grok4.0Fast,campanha de a Gucci Chime for Change,visa espalhar,o empoderamento feminino,3
"Em 2013, foi anunciado que Beyoncé trabalharia com Salma Hayek e Frida Giannini em uma campanha de a Gucci Chime for Change, que visa espalhar o empoderamento feminino.",respostas_gpt5.5_mini,uma campanha da Gucci Chime for Change,visa espalhar,o empoderamento feminino,3
"Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.",Claude_Sonnet5,Chopin,conheceu,Felix Mendelssohn,3
"Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.",Grok4.0Fast,Chopin,conheceu,Felix Mendelssohn,3
"Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.",respostas_gpt5.5_mini,Chopin,conheceu,Felix Mendelssohn,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",Claude_Sonnet5,Clésinger,fez,a máscara mortuária de Chopin,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",Claude_Sonnet5,Clésinger,fez,um giro de a mão esquerda,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",Grok4.0Fast,Clésinger,fez,a máscara mortuária de Chopin,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",Grok4.0Fast,Clésinger,fez,um giro de a mão esquerda,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",respostas_gpt5.5_mini,Clésinger,fez,a máscara mortuária de Chopin,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",respostas_gpt5.5_mini,Clésinger,fez,um giro de a mão esquerda,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",Claude_Sonnet5,um amigo de a família,é,o zoólogo Feliks Jarocki,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",Grok4.0Fast,um amigo de a família,é,o zoólogo Feliks Jarocki,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",respostas_gpt5.5_mini,um amigo de a família,é,o zoólogo Feliks Jarocki,3
"A partir de 1236, o príncipe mongol Kublai, que mais tarde governou como Khagan de 1260 a 1294, recebeu um grande appanage em o norte de a China por seu superior, Ögedei Khan.",Claude_Sonnet5,o príncipe mongol Kublai,governou como,Khagan,3
"A partir de 1236, o príncipe mongol Kublai, que mais tarde governou como Khagan de 1260 a 1294, recebeu um grande appanage em o norte de a China por seu superior, Ögedei Khan.",Grok4.0Fast,o príncipe mongol Kublai,governou como,Khagan,3
"A partir de 1236, o príncipe mongol Kublai, que mais tarde governou como Khagan de 1260 a 1294, recebeu um grande appanage em o norte de a China por seu superior, Ögedei Khan.",respostas_gpt5.5_mini,o príncipe mongol Kublai,governou como,Khagan,3
"O imperador Wanli convidou Yonten Gyatso para Pequim em 1616, mas, assim como seu antecessor, ele morreu antes de poder fazer a jornada.",Claude_Sonnet5,O imperador Wanli,convidou,Yonten Gyatso,3
"O imperador Wanli convidou Yonten Gyatso para Pequim em 1616, mas, assim como seu antecessor, ele morreu antes de poder fazer a jornada.",Grok4.0Fast,O imperador Wanli,convidou,Yonten Gyatso,3
"O imperador Wanli convidou Yonten Gyatso para Pequim em 1616, mas, assim como seu antecessor, ele morreu antes de poder fazer a jornada.",respostas_gpt5.5_mini,O imperador Wanli,convidou,Yonten Gyatso,3
"Güshi Khan aceitou seu papel de protetor e, de 1637 a 1640, ele não apenas derrotou os inimigos de os Gelugpas em as regiões Amdo e Kham, mas também reassentou toda a sua tribo em Amdo.",Claude_Sonnet5,Güshi Khan,derrotou,os inimigos de os Gelugpas,3
